0,N
elongation	8.92541,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.2059,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9864.24,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	7011.61,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2852.63,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	20762.6,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	17.195,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1372.94,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.89667,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	520.974,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.67376,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.564318,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	851.969,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	7.52125,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.208596,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.307691,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.426866,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.890776,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.2883,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.692012,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.750931,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.509669,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.654914,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.257825,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0402718,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1593,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	102.388,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	33.1381,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.08974,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	11.9992,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	8.53291,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	5855.09,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	3697.74,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2157.34,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	14815.5,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	13.4882,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	765.793,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.39783,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	529.788,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	8.58318,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.436862,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	236.005,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	4.90505,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.320268,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.191515,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.436782,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.867306,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.29108,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.655421,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.442779,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.301589,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.387106,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.15219,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0235995,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50048_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
